id,test_run_id,test_suite_row_id,test_suite_id,entity_test_row_id,entity_test_id,version_number,entity_id,entity_entity_id,entity_name,entity_type,entity_last_tested_date,entity_last_tested_time,entity_test_name,description,created_on,test_function,data_in,data_out,data_expected,has_tool_tip,tool_tip_text,failure_halts_test,created_by_employee_id,last_run_date,last_run_time,parent_test_row_id,parent_test_id,run_by,pass_fail_or_not_run,fail_severity,fail_reason,test_complete_notes,endl
\N,2,2,2,2,2,1.0.0,2,2,Dakar Web,Application,2021-05-15,13:21:09,Top Level of: Dakar Web,This is the top level test for Dakar Web. For this to pass all its children must pass.,2021-05-13,,,,,FALSE,NA,0,SB_1,\N,\N,1,1,SB_1,PASS,,,A,\N
\N,2,2,2,3,3,1.0.0,3,3,Login Form,Form,2021-05-15,12:28:36,Top Level of: Login Form,This is the top level test for Login Form. For this to pass all its children must pass.,2021-05-13,,,,,\N,\N,0,SB_1,\N,\N,2,2,SB_1,PASS,,,B,\N
\N,2,\N,\N,4,4,1.0.0,4,4,User Name Label,Label,\N,\N,User Name Label,TODO - Enter Description,2021-05-13,NA,NA,NA,User Name,FALSE,NA,0,SB_1,\N,\N,3,3,SB_1,NR,,,C,\N
\N,2,\N,\N,5,5,1.0.0,5,5,Password Label,Label,2021-05-15,12:28:30,Password Label,TODO - Enter Description,2021-05-13,NA,NA,NA,Password,FALSE,NA,0,SB_1,\N,\N,3,3,SB_1,PASS,,,D,\N
\N,2,\N,\N,6,6,1.0.0,6,6,User Name Text Box,Text In,2021-05-15,12:28:36,User Name Text Box,TODO - Enter Description,2021-05-13,Enter data,steveb,NA,NA,FALSE,NA,0,SB_1,\N,\N,3,3,SB_1,PASS,,,E,\N
\N,2,\N,\N,7,7,1.0.0,7,7,Password Text Box,Text In,2021-05-15,12:28:46,Password Text Box,TODO - Enter Description,2021-05-13,Enter data,1234,NA,NA,\N,\N,0,SB_1,\N,\N,3,3,SB_1,FAIL,2,a RESON,F,\N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
