id,test_run_id,test_suite_name,test_suite_row_id,test_suite_id,entity_test_row_id,entity_test_id,version_number,entity_id,entity_entity_id,entity_name,entity_type,entity_last_tested_date,entity_last_tested_time,entity_test_name,description,created_on,test_function,data_in,data_out,data_expected,has_tool_tip,tool_tip_text,failure_halts_test,created_by_employee_id,last_run_date,last_run_time,parent_test_row_id,parent_test_id,run_by,pass_fail_or_not_run,fail_severity,fail_reason,test_complete_notes,endl
\N,3,Home Page Top Right Nav Bar,15,15,15,15,1.0.0,15,15,Home Page Top Right Nav Bar,Nav Bar,\N,\N,Top Level of: Home Page Top Right Nav Bar,This is the top level test for Home Page Top Right Nav Bar. For this to pass all its children must pass.,5/16/2021,,,,,\N,\N,0,SB_1,5/17/2021,16:32:30,9,9,SB_1,QP,,,Employee Creation Wizard failed,\N
\N,3,Home Page Top Right Nav Bar,15,15,16,16,1.0.0,16,16,Authorisations,Button - Display,00:00:00,0:00:00,Top Level of: Authorisations,This is the top level test for Authorisations. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Authorisations,0,SB_1,5/17/2021,16:29:00,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,3,Home Page Top Right Nav Bar,15,15,17,17,1.0.0,17,17,Employee Creation Wizard,Button - Display,00:00:00,16:14:32,Top Level of: Employee Creation Wizard,This is the top level test for Employee Creation Wizard. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Employee Creation,0,SB_1,5/17/2021,16:29:05,15,15,SB_1,FAIL,2,Wizard crashed on creating employee,"Entered various invalid data and wizard crashed with [$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G POINT_IN_TIME.DATE TEXT$G DAKINET_AUTOMATION_DSYNC HANDLE$G DAKINET_AUTOMATION_DSYNC HANDLE$G DAKINET_AUTOMATION_DSYNC HANDLEENG0016: WIZARD_EMPLOYEE_CREATION, line 410. Non-numeric data when numeric required. Zero used.]",\N
\N,3,Home Page Top Right Nav Bar,15,15,18,18,1.0.0,18,18,Employee CV,Button - Display,00:00:00,16:24:19,Top Level of: Employee CV,This is the top level test for Employee CV. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Employee CV,0,SB_1,5/17/2021,16:29:09,15,15,SB_1,FAIL,5,Incorrect label value,Label should be [Employee] not [Employees],\N
\N,3,Home Page Top Right Nav Bar,15,15,19,19,1.0.0,19,19,Employee Grid View,Button - Display,\N,\N,Top Level of: Employee Grid View,This is the top level test for Employee Grid View. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Employee Grid View,0,SB_1,5/17/2021,16:29:14,15,15,SB_1,NR,,,Child test not available,\N
\N,3,Home Page Top Right Nav Bar,15,15,20,20,1.0.0,20,20,Visual Reports,Button - Display,\N,\N,Top Level of: Visual Reports,This is the top level test for Visual Reports. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Visual Reports,0,SB_1,5/17/2021,16:29:19,15,15,SB_1,NR,,,Child test not available,\N
\N,3,Home Page Top Right Nav Bar,15,15,21,21,1.0.0,21,21,Dakar Intelligence,Button - Display,\N,\N,Top Level of: Dakar Intelligence,This is the top level test for Dakar Intelligence. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Dakar Intelligence,0,SB_1,5/17/2021,16:29:22,15,15,SB_1,NR,,,Child test not available,\N
\N,3,Home Page Top Right Nav Bar,15,15,22,22,1.0.0,22,22,Organisation Chart,Button - Display,\N,\N,Top Level of: Organisation Chart,This is the top level test for Organisation Chart. For this to pass all its children must pass.,5/16/2021,,,,,FALSE,-,0,SB_1,5/17/2021,16:29:31,15,15,SB_1,NR,,,Missing/Deleted from the nav bar,\N
\N,3,Home Page Top Right Nav Bar,15,15,23,23,1.0.0,23,23,My Company / Last Viewed,Button - Display,00:00:00,16:35:48,Top Level of: My Company / Last Viewed,This is the top level test for My Company / Last Viewed. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,My Company / Last Viewed,0,SB_1,5/17/2021,16:31:20,15,15,SB_1,PASS,,,Test Complete Notes,\N
\N,3,Home Page Top Right Nav Bar,15,15,24,24,1.0.0,24,24,All Notifications,Button - Display,00:00:00,16:38:16,Top Level of: All Notifications,This is the top level test for All Notifications. For this to pass all its children must pass.,5/16/2021,,,,,TRUE,Notifications,0,SB_1,5/17/2021,16:31:26,15,15,SB_1,PASS,,,Test Complete Notes,\N
